ccode;iso3;country;region;ctr
40;AUT;Austria;Western Europe;Austria
56;BEL;Belgium;Western Europe;Belgium
280;NA;Federal Republic of Germany (until 1990);Western Europe;Federal Republic Of Germany (until 1990)
250;FRA;France;Western Europe;France
278;NA;German Democratic Republic (until 1990);Eastern Europe;German Democratic Republic (until 1990)
276;DEU;Germany;Western Europe;Germany
438;LIE;Liechtenstein;Western Europe;Liechtenstein
442;LUX;Luxembourg;Western Europe;Luxembourg
492;MCO;Monaco;Western Europe;Monaco
528;NLD;Netherlands;Western Europe;Netherlands
756;CHE;Switzerland;Western Europe;Switzerland
248;ALA;Åland Islands;Western Europe;Aland Islands
830;NA;Channel Islands;Western Europe;Channel Islands
208;DNK;Denmark;Western Europe;Denmark
233;EST;Estonia;Eastern Europe;Estonia
234;FRO;Faeroe Islands;Western Europe;Faroe Islands
246;FIN;Finland;Western Europe;Finland
831;GGY;Guernsey;Western Europe;Guernsey
352;ISL;Iceland;Western Europe;Iceland
372;IRL;Ireland;Western Europe;Ireland
833;IMN;Isle of Man;Western Europe;Isle Of Man
832;JEY;Jersey;Western Europe;Jersey
428;LVA;Latvia;Eastern Europe;Latvia
440;LTU;Lithuania;Eastern Europe;Lithuania
578;NOR;Norway;Western Europe;Norway
680;NA;Sark;Western Europe;Sark
744;SJM;Svalbard and Jan Mayen Islands;Western Europe;Svalbard And Jan Mayen
752;SWE;Sweden;Western Europe;Sweden
826;GBR;United Kingdom;Western Europe;United Kingdom
8;ALB;Albania;Eastern Europe;Albania
20;AND;Andorra;Western Europe;Andorra
70;BIH;Bosnia and Herzegovina;Eastern Europe;Bosnia And Herzegovina
191;HRV;Croatia;Eastern Europe;Croatia
292;GIB;Gibraltar;Western Europe;Gibraltar
300;GRC;Greece;Western Europe;Greece
336;VAT;Holy See;Western Europe;Holy See (vatican City State)
380;ITA;Italy;Western Europe;Italy
470;MLT;Malta;Western Europe;Malta
499;MNE;Montenegro;Eastern Europe;Montenegro
620;PRT;Portugal;Western Europe;Portugal
674;SMR;San Marino;Western Europe;San Marino
688;SRB;Serbia;Eastern Europe;Serbia
891;NA;Serbia and Montenegro (until 2006);Eastern Europe;Serbia And Montenegro (until 2006)
705;SVN;Slovenia;Eastern Europe;Slovenia
890;NA;Socialist Federal Republic of Yugoslavia (until 1992);Eastern Europe;Socialist Federal Republic Of Yugoslavia (until 1992)
724;ESP;Spain;Western Europe;Spain
807;MKD;Former Yugoslav Republic of Macedonia;Eastern Europe;Macedonia, The Former Yugoslav Republic Of
112;BLR;Belarus;Eastern Europe;Belarus
100;BGR;Bulgaria;Eastern Europe;Bulgaria
203;CZE;Czech Republic;Eastern Europe;Czech Republic
200;NA;Czechoslovakia (until 1993);Eastern Europe;Czechoslovakia (until 1993)
348;HUN;Hungary;Eastern Europe;Hungary
616;POL;Poland;Eastern Europe;Poland
498;MDA;Republic of Moldova;Eastern Europe;Moldova, Republic Of
642;ROU;Romania;Eastern Europe;Romania
